quarter,level_1,value
1976-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1976-Q1,Average Selling Prices (Forecast For Next Quarter),na
1976-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1976-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1976-Q2,General Business Expectations (Forecast For Next 6 Months),47
1976-Q2,Numbers Employed (Forecast For Next Quarter),na
1976-Q2,Overtime (Forecast For Next Quarter),na
1976-Q2,Output (Forecast For Next Quarter),na
1976-Q2,Total New Orders Received (Forecast For Next Quarter),na
1976-Q2,Domestic Orders (Forecast For Next Quarter),na
1976-Q2,Export Orders (Forecast For Next Quarter),na
1976-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1976-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1976-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1976-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1976-Q2,Average Selling Prices (Forecast For Next Quarter),na
1976-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1976-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1976-Q3,General Business Expectations (Forecast For Next 6 Months),36
1976-Q3,Numbers Employed (Forecast For Next Quarter),na
1976-Q3,Overtime (Forecast For Next Quarter),na
1976-Q3,Output (Forecast For Next Quarter),na
1976-Q3,Total New Orders Received (Forecast For Next Quarter),na
1976-Q3,Domestic Orders (Forecast For Next Quarter),na
1976-Q3,Export Orders (Forecast For Next Quarter),na
1976-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1976-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1976-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1976-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1976-Q3,Average Selling Prices (Forecast For Next Quarter),na
1976-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1976-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1976-Q4,General Business Expectations (Forecast For Next 6 Months),13
1976-Q4,Numbers Employed (Forecast For Next Quarter),na
1976-Q4,Overtime (Forecast For Next Quarter),na
1976-Q4,Output (Forecast For Next Quarter),na
1976-Q4,Total New Orders Received (Forecast For Next Quarter),na
1976-Q4,Domestic Orders (Forecast For Next Quarter),na
1976-Q4,Export Orders (Forecast For Next Quarter),na
1976-Q4,Deliveries In Singapore (Forecast For Next Quarter),na
1976-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1976-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1976-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1976-Q4,Average Selling Prices (Forecast For Next Quarter),na
1976-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1976-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1977-Q1,General Business Expectations (Forecast For Next 6 Months),22
1977-Q1,Numbers Employed (Forecast For Next Quarter),27
1977-Q1,Overtime (Forecast For Next Quarter),7
1977-Q1,Output (Forecast For Next Quarter),35
1977-Q1,Total New Orders Received (Forecast For Next Quarter),25
1977-Q1,Domestic Orders (Forecast For Next Quarter),4
1977-Q1,Export Orders (Forecast For Next Quarter),24
1977-Q1,Deliveries In Singapore (Forecast For Next Quarter),8
1977-Q1,Deliveries Overseas (Forecast For Next Quarter),28
1977-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),4
1977-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),5
1977-Q1,Average Selling Prices (Forecast For Next Quarter),0
1977-Q1,Investment On Buildings (Forecast - Next 12 Months),6
1977-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),-2
1977-Q2,General Business Expectations (Forecast For Next 6 Months),19
1977-Q2,Numbers Employed (Forecast For Next Quarter),21
1977-Q2,Overtime (Forecast For Next Quarter),1
1977-Q2,Output (Forecast For Next Quarter),31
1977-Q2,Total New Orders Received (Forecast For Next Quarter),18
1977-Q2,Domestic Orders (Forecast For Next Quarter),5
1977-Q2,Export Orders (Forecast For Next Quarter),17
1977-Q2,Deliveries In Singapore (Forecast For Next Quarter),5
1977-Q2,Deliveries Overseas (Forecast For Next Quarter),22
1977-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-3
1977-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),9
1977-Q2,Average Selling Prices (Forecast For Next Quarter),-10
1977-Q2,Investment On Buildings (Forecast - Next 12 Months),13
1977-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),13
1977-Q3,General Business Expectations (Forecast For Next 6 Months),21
1977-Q3,Numbers Employed (Forecast For Next Quarter),23
1977-Q3,Overtime (Forecast For Next Quarter),3
1977-Q3,Output (Forecast For Next Quarter),24
1977-Q3,Total New Orders Received (Forecast For Next Quarter),12
1977-Q3,Domestic Orders (Forecast For Next Quarter),11
1977-Q3,Export Orders (Forecast For Next Quarter),7
1977-Q3,Deliveries In Singapore (Forecast For Next Quarter),13
1977-Q3,Deliveries Overseas (Forecast For Next Quarter),10
1977-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),4
1977-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),5
1977-Q3,Average Selling Prices (Forecast For Next Quarter),0
1977-Q3,Investment On Buildings (Forecast - Next 12 Months),17
1977-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),25
1977-Q4,General Business Expectations (Forecast For Next 6 Months),21
1977-Q4,Numbers Employed (Forecast For Next Quarter),18
1977-Q4,Overtime (Forecast For Next Quarter),0
1977-Q4,Output (Forecast For Next Quarter),16
1977-Q4,Total New Orders Received (Forecast For Next Quarter),4
1977-Q4,Domestic Orders (Forecast For Next Quarter),-2
1977-Q4,Export Orders (Forecast For Next Quarter),6
1977-Q4,Deliveries In Singapore (Forecast For Next Quarter),-4
1977-Q4,Deliveries Overseas (Forecast For Next Quarter),9
1977-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),1
1977-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-2
1977-Q4,Average Selling Prices (Forecast For Next Quarter),-12
1977-Q4,Investment On Buildings (Forecast - Next 12 Months),17
1977-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),23
1978-Q1,General Business Expectations (Forecast For Next 6 Months),38
1978-Q1,Numbers Employed (Forecast For Next Quarter),46
1978-Q1,Overtime (Forecast For Next Quarter),16
1978-Q1,Output (Forecast For Next Quarter),49
1978-Q1,Total New Orders Received (Forecast For Next Quarter),36
1978-Q1,Domestic Orders (Forecast For Next Quarter),9
1978-Q1,Export Orders (Forecast For Next Quarter),37
1978-Q1,Deliveries In Singapore (Forecast For Next Quarter),13
1978-Q1,Deliveries Overseas (Forecast For Next Quarter),41
1978-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),19
1978-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),1
