quarter,level_1,value
1971-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1971-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1971-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1971-Q4,Average Selling Prices (Forecast For Next Quarter),na
1971-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1971-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q1,General Business Expectations (Forecast For Next 6 Months),47
1972-Q1,Numbers Employed (Forecast For Next Quarter),na
1972-Q1,Overtime (Forecast For Next Quarter),na
1972-Q1,Output (Forecast For Next Quarter),na
1972-Q1,Total New Orders Received (Forecast For Next Quarter),na
1972-Q1,Domestic Orders (Forecast For Next Quarter),na
1972-Q1,Export Orders (Forecast For Next Quarter),na
1972-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1972-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1972-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
1972-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1972-Q1,Average Selling Prices (Forecast For Next Quarter),na
1972-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1972-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q2,General Business Expectations (Forecast For Next 6 Months),45
1972-Q2,Numbers Employed (Forecast For Next Quarter),na
1972-Q2,Overtime (Forecast For Next Quarter),na
1972-Q2,Output (Forecast For Next Quarter),na
1972-Q2,Total New Orders Received (Forecast For Next Quarter),na
1972-Q2,Domestic Orders (Forecast For Next Quarter),na
1972-Q2,Export Orders (Forecast For Next Quarter),na
1972-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1972-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1972-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1972-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1972-Q2,Average Selling Prices (Forecast For Next Quarter),na
1972-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1972-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q3,General Business Expectations (Forecast For Next 6 Months),50
1972-Q3,Numbers Employed (Forecast For Next Quarter),na
1972-Q3,Overtime (Forecast For Next Quarter),na
1972-Q3,Output (Forecast For Next Quarter),na
1972-Q3,Total New Orders Received (Forecast For Next Quarter),na
1972-Q3,Domestic Orders (Forecast For Next Quarter),na
1972-Q3,Export Orders (Forecast For Next Quarter),na
1972-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1972-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1972-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1972-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1972-Q3,Average Selling Prices (Forecast For Next Quarter),na
1972-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1972-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q4,General Business Expectations (Forecast For Next 6 Months),43
1972-Q4,Numbers Employed (Forecast For Next Quarter),na
1972-Q4,Overtime (Forecast For Next Quarter),na
1972-Q4,Output (Forecast For Next Quarter),na
1972-Q4,Total New Orders Received (Forecast For Next Quarter),na
1972-Q4,Domestic Orders (Forecast For Next Quarter),na
1972-Q4,Export Orders (Forecast For Next Quarter),na
1972-Q4,Deliveries In Singapore (Forecast For Next Quarter),na
1972-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1972-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1972-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1972-Q4,Average Selling Prices (Forecast For Next Quarter),na
1972-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1972-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1973-Q1,General Business Expectations (Forecast For Next 6 Months),43
1973-Q1,Numbers Employed (Forecast For Next Quarter),na
1973-Q1,Overtime (Forecast For Next Quarter),na
1973-Q1,Output (Forecast For Next Quarter),na
1973-Q1,Total New Orders Received (Forecast For Next Quarter),na
1973-Q1,Domestic Orders (Forecast For Next Quarter),na
1973-Q1,Export Orders (Forecast For Next Quarter),na
1973-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1973-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1973-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
1973-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1973-Q1,Average Selling Prices (Forecast For Next Quarter),na
1973-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1973-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1973-Q2,General Business Expectations (Forecast For Next 6 Months),49
1973-Q2,Numbers Employed (Forecast For Next Quarter),na
1973-Q2,Overtime (Forecast For Next Quarter),na
1973-Q2,Output (Forecast For Next Quarter),na
1973-Q2,Total New Orders Received (Forecast For Next Quarter),na
1973-Q2,Domestic Orders (Forecast For Next Quarter),na
1973-Q2,Export Orders (Forecast For Next Quarter),na
1973-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1973-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1973-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1973-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1973-Q2,Average Selling Prices (Forecast For Next Quarter),na
1973-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1973-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1973-Q3,General Business Expectations (Forecast For Next 6 Months),41
1973-Q3,Numbers Employed (Forecast For Next Quarter),na
1973-Q3,Overtime (Forecast For Next Quarter),na
1973-Q3,Output (Forecast For Next Quarter),na
1973-Q3,Total New Orders Received (Forecast For Next Quarter),na
1973-Q3,Domestic Orders (Forecast For Next Quarter),na
1973-Q3,Export Orders (Forecast For Next Quarter),na
1973-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1973-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1973-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1973-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1973-Q3,Average Selling Prices (Forecast For Next Quarter),na
1973-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1973-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1973-Q4,General Business Expectations (Forecast For Next 6 Months),-7
1973-Q4,Numbers Employed (Forecast For Next Quarter),na
1973-Q4,Overtime (Forecast For Next Quarter),na
1973-Q4,Output (Forecast For Next Quarter),na
1973-Q4,Total New Orders Received (Forecast For Next Quarter),na
1973-Q4,Domestic Orders (Forecast For Next Quarter),na
1973-Q4,Export Orders (Forecast For Next Quarter),na
1973-Q4,Deliveries In Singapore (Forecast For Next Quarter),na
1973-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1973-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1973-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1973-Q4,Average Selling Prices (Forecast For Next Quarter),na
1973-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1973-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1974-Q1,General Business Expectations (Forecast For Next 6 Months),25
1974-Q1,Numbers Employed (Forecast For Next Quarter),na
1974-Q1,Overtime (Forecast For Next Quarter),na
1974-Q1,Output (Forecast For Next Quarter),na
1974-Q1,Total New Orders Received (Forecast For Next Quarter),na
1974-Q1,Domestic Orders (Forecast For Next Quarter),na
1974-Q1,Export Orders (Forecast For Next Quarter),na
1974-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1974-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1974-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
1974-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1974-Q1,Average Selling Prices (Forecast For Next Quarter),na
1974-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1974-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1974-Q2,General Business Expectations (Forecast For Next 6 Months),10
1974-Q2,Numbers Employed (Forecast For Next Quarter),na
1974-Q2,Overtime (Forecast For Next Quarter),na
1974-Q2,Output (Forecast For Next Quarter),na
1974-Q2,Total New Orders Received (Forecast For Next Quarter),na
1974-Q2,Domestic Orders (Forecast For Next Quarter),na
1974-Q2,Export Orders (Forecast For Next Quarter),na
1974-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1974-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1974-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1974-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1974-Q2,Average Selling Prices (Forecast For Next Quarter),na
1974-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1974-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1974-Q3,General Business Expectations (Forecast For Next 6 Months),-23
1974-Q3,Numbers Employed (Forecast For Next Quarter),na
1974-Q3,Overtime (Forecast For Next Quarter),na
1974-Q3,Output (Forecast For Next Quarter),na
1974-Q3,Total New Orders Received (Forecast For Next Quarter),na
1974-Q3,Domestic Orders (Forecast For Next Quarter),na
1974-Q3,Export Orders (Forecast For Next Quarter),na
1974-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1974-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1974-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1974-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1974-Q3,Average Selling Prices (Forecast For Next Quarter),na
1974-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1974-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1974-Q4,General Business Expectations (Forecast For Next 6 Months),-37
1974-Q4,Numbers Employed (Forecast For Next Quarter),na
1974-Q4,Overtime (Forecast For Next Quarter),na
1974-Q4,Output (Forecast For Next Quarter),na
1974-Q4,Total New Orders Received (Forecast For Next Quarter),na
1974-Q4,Domestic Orders (Forecast For Next Quarter),na
1974-Q4,Export Orders (Forecast For Next Quarter),na
1974-Q4,Deliveries In Singapore (Forecast For Next Quarter),na
1974-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1974-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1974-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1974-Q4,Average Selling Prices (Forecast For Next Quarter),na
1974-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1974-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1975-Q1,General Business Expectations (Forecast For Next 6 Months),20
1975-Q1,Numbers Employed (Forecast For Next Quarter),na
1975-Q1,Overtime (Forecast For Next Quarter),na
1975-Q1,Output (Forecast For Next Quarter),na
1975-Q1,Total New Orders Received (Forecast For Next Quarter),na
1975-Q1,Domestic Orders (Forecast For Next Quarter),na
1975-Q1,Export Orders (Forecast For Next Quarter),na
1975-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1975-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1975-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
1975-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1975-Q1,Average Selling Prices (Forecast For Next Quarter),na
1975-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1975-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1975-Q2,General Business Expectations (Forecast For Next 6 Months),34
1975-Q2,Numbers Employed (Forecast For Next Quarter),na
1975-Q2,Overtime (Forecast For Next Quarter),na
1975-Q2,Output (Forecast For Next Quarter),na
1975-Q2,Total New Orders Received (Forecast For Next Quarter),na
1975-Q2,Domestic Orders (Forecast For Next Quarter),na
1975-Q2,Export Orders (Forecast For Next Quarter),na
1975-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1975-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1975-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1975-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1975-Q2,Average Selling Prices (Forecast For Next Quarter),na
1975-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1975-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1975-Q3,General Business Expectations (Forecast For Next 6 Months),35
1975-Q3,Numbers Employed (Forecast For Next Quarter),na
1975-Q3,Overtime (Forecast For Next Quarter),na
1975-Q3,Output (Forecast For Next Quarter),na
1975-Q3,Total New Orders Received (Forecast For Next Quarter),na
1975-Q3,Domestic Orders (Forecast For Next Quarter),na
1975-Q3,Export Orders (Forecast For Next Quarter),na
1975-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1975-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1975-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1975-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1975-Q3,Average Selling Prices (Forecast For Next Quarter),na
1975-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1975-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1975-Q4,General Business Expectations (Forecast For Next 6 Months),34
1975-Q4,Numbers Employed (Forecast For Next Quarter),na
1975-Q4,Overtime (Forecast For Next Quarter),na
1975-Q4,Output (Forecast For Next Quarter),na
1975-Q4,Total New Orders Received (Forecast For Next Quarter),na
1975-Q4,Domestic Orders (Forecast For Next Quarter),na
1975-Q4,Export Orders (Forecast For Next Quarter),na
1975-Q4,Deliveries In Singapore (Forecast For Next Quarter),na
1975-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1975-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1975-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1975-Q4,Average Selling Prices (Forecast For Next Quarter),na
1975-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1975-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1976-Q1,General Business Expectations (Forecast For Next 6 Months),54
1976-Q1,Numbers Employed (Forecast For Next Quarter),na
1976-Q1,Overtime (Forecast For Next Quarter),na
1976-Q1,Output (Forecast For Next Quarter),na
1976-Q1,Total New Orders Received (Forecast For Next Quarter),na
1976-Q1,Domestic Orders (Forecast For Next Quarter),na
1976-Q1,Export Orders (Forecast For Next Quarter),na
1976-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1976-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1976-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
